Wavelength;Raw data #1
623.98;64040
624.34;64040
624.71;64040
625.08;64040
625.45;63963
625.82;62574
626.18;61116
626.55;59031
626.92;57240
627.29;56454
627.65;53666
628.02;52510
628.39;50383
628.76;48813
629.12;47334
629.49;45663
629.86;44077
630.23;42725
630.59;41050
630.96;39681
631.33;38153
631.7;36871
632.06;35495
632.43;33810
632.8;32979
633.16;31515
633.53;30115
633.9;29195
634.26;28167
634.63;27127
635;25845
635.37;25042
635.73;24110
636.1;23329
636.47;22547
636.83;21809
637.2;21059
637.57;20196
637.93;19623
638.3;19123
638.66;18569
639.03;17918
639.4;17603
639.76;16988
640.13;16495
640.5;16080
640.86;15886
641.23;15353
641.59;16996
641.96;14569
642.33;14477
642.69;14058
643.06;13469
643.42;13518
643.79;13025
644.16;12701
644.52;12351
644.89;12264
645.25;12002
645.62;11755
645.98;11358
646.35;11252
646.71;10926
647.08;10643
647.45;10489
647.81;10328
648.18;10063
648.54;9894
648.91;9468
649.27;9366
649.64;9233
650;8882
650.37;8605
650.73;8506
651.1;8310
651.46;8153
651.83;7712
652.19;7598
652.56;7443
652.92;7283
653.29;6858
653.65;6753
654.02;6624
654.38;6364
654.74;6262
655.11;5999
655.47;5895
655.84;5794
656.2;5684
656.57;5400
656.93;5195
657.29;5210
657.66;5026
658.02;4717
658.39;4542
658.75;4499
659.12;4395
659.48;4201
659.84;4063
660.21;3964
660.57;3908
660.93;3767
661.3;3639
661.66;3633
662.03;3454
662.39;3376
662.75;3241
663.12;3140
663.48;3045
663.84;2969
664.21;2937
664.57;2922
664.93;2829
665.3;2788
665.66;2711
666.02;2587
666.39;2552
666.75;2390
667.11;2280
667.47;2294
667.84;2298
668.2;2251
668.56;2164
668.93;2180
669.29;1996
669.65;1980
670.01;1869
670.38;1856
670.74;1754
671.1;1838
671.46;1765
671.83;1880
672.19;1547
672.55;1543
672.91;1564
673.28;1470
673.64;1395
674;1553
674.36;1387
674.72;1450
675.09;1312
675.45;1235
675.81;1192
676.17;1254
676.53;1145
676.9;1201
677.26;1185
677.62;1182
677.98;1056
678.34;1130
678.7;1082
